1485	167	0		1629	315	0
1629	315	0		1525	449	0
1525	449	0		1689	617	0
1689	617	0		1521	744	0
1521	744	0		1586	863	0
1586	863	0		1298	899	0
1298	899	0		963	814	0
963	814	0		788	988	0
788	988	0		643	847	0
643	847	0		384	902	0
384	902	0		415	707	0
415	707	0		239	456	0
239	456	0		383	353	0
383	353	0		334	135	0
334	135	0		477	30	0
477	30	0		507	151	0
507	151	0		697	44	0
697	44	0		846	167	0
846	167	0		967	277	0
967	277	0		926	410	0
926	410	0		1042	513	0
1042	513	0		1184	379	0
1184	379	0		1180	255	0
1180	255	0		1212	95	0
1212	95	0		1444	36	0
